0,4,4
1,0,2
1,3,5
2,0,4
2,2,4
3,2,5
4,1,3
4,2,4
4,3,2
4,4,5
5,2,2
6,2,5
6,3,4
7,0,2
8,1,5
8,3,2
8,4,4
9,0,2
9,2,3
10,0,2
10,1,2
10,2,3
10,4,4
11,1,2
11,2,4
11,3,4
12,0,2
12,3,3
13,0,3
13,1,2
13,2,5
13,4,4
14,1,3
14,2,5
15,3,2
15,4,4
16,2,4
16,4,3
17,1,3
17,3,2
17,4,2
18,1,4
18,2,5
18,3,2
19,0,2
19,2,2
20,0,2
20,3,2
21,1,4
21,2,2
21,4,3
22,1,5
23,1,3
23,2,4
23,3,5
23,4,2
24,3,2
25,1,5
25,3,3
26,2,3
26,3,2
27,2,4
28,1,2
28,2,2
29,0,4
29,1,4
29,2,5
29,3,3
29,4,2
30,0,3
30,2,3
31,1,4
31,3,4
32,3,5
33,1,3
33,4,3
34,0,2
34,4,2
35,1,2
36,0,3
36,2,2
36,3,3
37,1,4
37,3,2
37,4,3
38,0,3
38,1,4
38,2,2
38,4,3
39,0,2
39,2,4
39,3,2
39,4,3
40,3,2
41,0,2
41,4,4
42,0,2
42,1,2
43,0,2
43,2,4
43,4,5
44,1,4
44,2,3
44,4,4
45,2,5
45,3,5
46,0,3
46,1,2
46,2,3
46,3,2
46,4,5
47,1,4
48,0,4
48,1,4
48,2,4
49,1,4
49,2,2
49,3,3
49,4,3
